"","subsection","response","estimator","estimate","cov","section","province"
"186","313Dc","BIOLIVE_TPA","dirps",6.48585105616205,0.15304659431245,"313D","313"
"187","313De","BIOLIVE_TPA","hb_unit",12.461046109111,0.0947724572963408,"313D","313"
"188","313De","BIOLIVE_TPA","hb_area",5.66680597366238,0.051564925287985,"313D","313"
"189","313De","BIOLIVE_TPA","freq_unit",12.4720092353462,0.135975183218568,"313D","313"
"190","313De","BIOLIVE_TPA","freq_area",7.92843980670599,0.0977790308763722,"313D","313"
"191","313De","BIOLIVE_TPA","dirmean",7.70204881578947,0.131653326773984,"313D","313"
"192","313De","BIOLIVE_TPA","dirps",8.24671786008421,0.101783103912543,"313D","313"
"193","313Df","BIOLIVE_TPA","hb_unit",30.924391404767,0.0607144659818672,"313D","313"
"194","313Df","BIOLIVE_TPA","hb_area",16.2148904812851,0.0565958435123407,"313D","313"
"195","313Df","BIOLIVE_TPA","freq_unit",30.5439297937249,0.108023869833604,"313D","313"
"196","313Df","BIOLIVE_TPA","freq_area",18.5166693204161,0.0911269151357273,"313D","313"
"197","313Df","BIOLIVE_TPA","dirmean",20.079449375,0.119074168447259,"313D","313"
"198","313Df","BIOLIVE_TPA","dirps",19.5899466890236,0.118898994879152,"313D","313"
"199","315Aa","BIOLIVE_TPA","hb_unit",1.01326199460966,0.172883038360967,"315A","315"
"200","315Aa","BIOLIVE_TPA","hb_area",0.575690767211781,1.17230140773817,"315A","315"
"201","315Aa","BIOLIVE_TPA","freq_unit",1.01514029887613,0.429216279884102,"315A","315"
"202","315Aa","BIOLIVE_TPA","freq_area",0.239932466426778,0.278009515277586,"315A","315"
"203","315Aa","BIOLIVE_TPA","dirmean",0.242546363112392,0.319202732132101,"315A","315"
"204","315Aa","BIOLIVE_TPA","dirps",0.236805723003612,0.279295901516021,"315A","315"
"205","315Ab","BIOLIVE_TPA","hb_unit",1.04167858838257,13.4088087568265,"315A","315"
"206","315Ab","BIOLIVE_TPA","hb_area",0.730518980142696,8.24603826652873,"315A","315"
"207","315Ab","BIOLIVE_TPA","freq_unit",1.0440107646402,3.05899264052446,"315A","315"
"208","315Ab","BIOLIVE_TPA","freq_area",0.0445563917928914,0.347013381246228,"315A","315"
"209","315Ab","BIOLIVE_TPA","dirmean",0.043755328358209,0.347484856262926,"315A","315"
"210","315Ab","BIOLIVE_TPA","dirps",0.0437448971281806,0.347076507157146,"315A","315"
"211","315Ad","BIOLIVE_TPA","hb_unit",1.05189272140772,0.252046703150897,"315A","315"
"212","315Ad","BIOLIVE_TPA","hb_area",0.522683093022395,0.772974437288358,"315A","315"
"213","315Ad","BIOLIVE_TPA","freq_unit",1.05253624453937,0.266712724097488,"315A","315"
"214","315Ad","BIOLIVE_TPA","freq_area",0.30423035937012,0.127852373401264,"315A","315"
"215","315Ad","BIOLIVE_TPA","dirmean",0.333978192263936,0.153418028476351,"315A","315"
"216","315Ad","BIOLIVE_TPA","dirps",0.304735269769853,0.128073679195535,"315A","315"
"217","315Ba","BIOLIVE_TPA","hb_unit",0.577213783401099,0.0412458779063114,"315B","315"
"218","315Ba","BIOLIVE_TPA","hb_area",0.342981451155971,7.14875113347158,"315B","315"
"219","315Ba","BIOLIVE_TPA","freq_unit",0.577960696260156,2.37089098315916,"315B","315"
"220","315Ba","BIOLIVE_TPA","freq_area",0.0236257932450264,0.443960466837963,"315B","315"
"221","315Ba","BIOLIVE_TPA","dirmean",0.0236965567010309,0.444144215463528,"315B","315"
"222","315Ba","BIOLIVE_TPA","dirps",0.0237162435432865,0.443985400707485,"315B","315"
"223","315Bb","BIOLIVE_TPA","hb_unit",1.08152495719485,0.0834614582588977,"315B","315"
"224","315Bb","BIOLIVE_TPA","hb_area",0.607887707857278,1.76193401495421,"315B","315"
"225","315Bb","BIOLIVE_TPA","freq_unit",1.13556239974585,1.18168147671062,"315B","315"
"226","315Bb","BIOLIVE_TPA","freq_area",0.186406280351343,0.63279004782002,"315B","315"
"227","315Bb","BIOLIVE_TPA","dirmean",0.1704035,0.641012762066817,"315B","315"
"228","315Bb","BIOLIVE_TPA","dirps",0.1704035,0.640991033630852,"315B","315"
"229","315Bc","BIOLIVE_TPA","hb_unit",1.97554632279627,1.57343214167491,"315B","315"
"230","315Bc","BIOLIVE_TPA","hb_area",0.967271494844056,0.468342052826942,"315B","315"
"231","315Bc","BIOLIVE_TPA","freq_unit",1.97711536215356,0.148084979091322,"315B","315"
"232","315Bc","BIOLIVE_TPA","freq_area",1.0042744458296,0.116781343703729,"315B","315"
"233","315Bc","BIOLIVE_TPA","dirmean",1.02007011280488,0.138661602828759,"315B","315"
"234","315Bc","BIOLIVE_TPA","dirps",0.989589674074818,0.116975236039311,"315B","315"
"235","315Bd","BIOLIVE_TPA","hb_unit",0.755470942640782,0.257515887170674,"315B","315"
"236","315Bd","BIOLIVE_TPA","hb_area",0.433489557208403,41.9539280286477,"315B","315"
"237","315Bd","BIOLIVE_TPA","freq_unit",0.758761714944652,15.2659322927231,"315B","315"
"238","315Bd","BIOLIVE_TPA","freq_area",0.00510536460192792,0.766508471439911,"315B","315"
"239","315Bd","BIOLIVE_TPA","dirmean",0.00510329648241206,0.767157574658466,"315B","315"
"240","315Bd","BIOLIVE_TPA","dirps",0.0051004309276118,0.766517586463786,"315B","315"
"241","315Ha","BIOLIVE_TPA","hb_unit",0.897194250377653,0.266791565374744,"315H","315"
"242","315Ha","BIOLIVE_TPA","hb_area",0.36145681756071,0.466930845411999,"315H","315"
"243","315Ha","BIOLIVE_TPA","freq_unit",0.898655015711986,0.325319419363282,"315H","315"
"244","315Ha","BIOLIVE_TPA","freq_area",0.341825670116611,0.321966373445753,"315H","315"
"245","315Ha","BIOLIVE_TPA","dirmean",0.38233903988604,0.330922320167283,"315H","315"
"246","315Ha","BIOLIVE_TPA","dirps",0.378017782091699,0.325908213442869,"315H","315"
"247","315Hb","BIOLIVE_TPA","hb_unit",4.23010314655585,7.51040553989457,"315H","315"
"248","315Hb","BIOLIVE_TPA","hb_area",1.0510864780309,0.12336329580173,"315H","315"
"249","315Hb","BIOLIVE_TPA","freq_unit",4.21741204153833,0.146153588301183,"315H","315"
"250","315Hb","BIOLIVE_TPA","freq_area",2.01180825103311,0.109039459068496,"315H","315"
"251","315Hb","BIOLIVE_TPA","dirmean",4.20820874468085,0.18890985829669,"315H","315"
"252","315Hb","BIOLIVE_TPA","dirps",3.51071097137816,0.156155406879841,"315H","315"
"253","321Ac","BIOLIVE_TPA","hb_unit",1.18999903421219,0.0324943079241315,"321A","321"
"254","321Ac","BIOLIVE_TPA","hb_area",1.27018632038034,3.21687757867029,"321A","321"
"255","321Ac","BIOLIVE_TPA","freq_unit",1.19703616668703,2.20695343515495,"321A","321"
"256","321Ac","BIOLIVE_TPA","freq_area",0.117526219048582,0.161693488340334,"321A","321"
"257","321Ac","BIOLIVE_TPA","dirmean",0.117236553191489,0.161762867198628,"321A","321"
"258","321Ac","BIOLIVE_TPA","dirps",0.117091569750486,0.161713503994155,"321A","321"
"259","321Ad","BIOLIVE_TPA","hb_unit",0.976345199852273,0.511782475104127,"321A","321"
"260","321Ad","BIOLIVE_TPA","hb_area",1.3306724504048,2.03607633506611,"321A","321"
